City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Gangarampur,IN,2021-04-16 19:50:47,25.4,88.5167,79.21,46,75,10.69
114,Aguimes,ES,2021-04-16 19:50:47,27.9054,-15.4461,69.01,73,40,19.57
115,Hami,CN,2021-04-16 19:50:48,42.8,93.45,56.3,11,0,4.52
116,Maceio,BR,2021-04-16 19:50:48,-9.6658,-35.7353,80.6,83,20,11.5
117,East London,ZA,2021-04-16 19:50:48,-33.0153,27.9116,62.62,59,3,10.87
118,Upernavik,GL,2021-04-16 19:50:48,72.7868,-56.1549,-2.63,85,100,8.9
119,Sur,OM,2021-04-16 19:50:49,22.5667,59.5289,84.6,48,1,9.86
120,Kuntaur,GM,2021-04-16 19:50:49,13.6667,-14.8833,97.0,12,16,3.24
121,Arraial Do Cabo,BR,2021-04-16 19:50:49,-22.9661,-42.0278,80.6,61,0,13.8
122,Port Blair,IN,2021-04-16 19:46:46,11.6667,92.75,80.53,78,97,11.97
123,Isangel,VU,2021-04-16 19:50:50,-19.55,169.2667,79.43,83,83,8.75
124,Comodoro Rivadavia,AR,2021-04-16 19:50:50,-45.8667,-67.5,73.4,31,40,14.97
125,Bulgan,MN,2021-04-16 19:50:50,48.8125,103.5347,26.78,76,4,5.53
126,Mount Gambier,AU,2021-04-16 19:50:51,-37.8333,140.7667,51.8,76,90,6.91
127,Brae,GB,2021-04-16 19:50:51,60.3964,-1.353,43.23,84,100,15.48
128,Chekhov,RU,2021-04-16 19:50:51,55.1431,37.4711,53.01,87,100,10.54
129,Rodeo,US,2021-04-16 19:50:52,38.033,-122.2669,69.01,48,1,9.22
130,Portel,BR,2021-04-16 19:50:52,-1.9356,-50.8211,78.1,93,95,5.28
131,Kaitangata,NZ,2021-04-16 19:50:52,-46.2817,169.8464,45.0,80,38,4.0
132,Cape Town,ZA,2021-04-16 19:49:58,-33.9258,18.4232,72.0,72,0,1.14
133,Shingu,JP,2021-04-16 19:50:53,33.7333,135.9833,59.81,92,100,9.89
134,Sorland,NO,2021-04-16 19:50:53,67.667,12.6934,42.8,93,0,8.05
135,Luderitz,NA,2021-04-16 19:50:53,-26.6481,15.1594,80.67,34,99,3.91
136,Chokurdakh,RU,2021-04-16 19:50:54,70.6333,147.9167,-8.64,100,99,7.72
137,Tiznit,MA,2021-04-16 19:50:54,29.5833,-9.5,59.52,73,15,3.53
138,Nanlong,CN,2021-04-16 19:50:54,31.3533,106.0631,57.33,87,100,1.59
139,Les Cayes,HT,2021-04-16 19:50:55,18.2,-73.75,83.88,57,6,9.95
140,Marihatag,PH,2021-04-16 19:50:55,8.7936,126.2969,76.84,87,100,6.73
141,Egvekinot,RU,2021-04-16 19:50:55,66.3167,-179.1667,26.17,98,100,9.06
142,Meadow Lake,US,2021-04-16 19:50:56,34.8014,-106.5436,64.0,17,75,5.75
143,Dracena,BR,2021-04-16 19:50:56,-21.4843,-51.535,77.58,58,75,15.46
144,Damaturu,NG,2021-04-16 19:50:56,11.747,11.9608,85.37,7,31,9.19
145,Varna,BG,2021-04-16 19:50:56,43.2167,27.9167,46.4,53,0,3.04
146,Klaksvik,FO,2021-04-16 19:50:57,62.2266,-6.589,46.4,100,90,14.97
147,Visby,SE,2021-04-16 19:49:36,57.6409,18.296,44.01,52,90,14.97
148,Provideniya,RU,2021-04-16 19:50:57,64.3833,-173.3,28.98,92,100,8.01
149,Padang,ID,2021-04-16 19:50:57,-0.9492,100.3543,76.96,86,99,2.21
150,Bauchi,NG,2021-04-16 19:50:58,10.5,10.0,84.25,11,100,1.52
151,Castro,BR,2021-04-16 19:50:58,-24.7911,-50.0119,71.55,60,70,3.74
152,Coahuayana,MX,2021-04-16 19:50:58,18.7333,-103.6833,86.0,39,20,10.36
153,Velingara,SN,2021-04-16 19:48:19,13.15,-14.1167,95.59,15,5,2.91
154,Pandamatenga,BW,2021-04-16 19:50:59,-18.5278,25.627,64.26,39,30,2.53
155,Inongo,CD,2021-04-16 19:50:59,-1.95,18.2667,74.91,80,79,7.0
156,Puerto Ayora,EC,2021-04-16 19:47:17,-0.7393,-90.3518,80.6,83,75,11.5
157,Faanui,PF,2021-04-16 19:50:47,-16.4833,-151.75,82.63,72,8,11.97
158,Butaritari,KI,2021-04-16 19:50:59,3.0707,172.7902,81.5,76,100,8.84
159,Kahului,US,2021-04-16 19:47:38,20.8947,-156.47,75.2,64,20,8.05
160,Viedma,AR,2021-04-16 19:47:23,-40.8135,-62.9967,72.54,46,99,13.87
161,Barrow,US,2021-04-16 19:50:06,71.2906,-156.7887,3.2,78,40,9.22
162,Nazas,MX,2021-04-16 19:51:00,25.2333,-104.1333,92.25,3,0,6.24
163,Santa Cruz De La Palma,ES,2021-04-16 19:51:00,28.6835,-17.7642,69.8,68,75,14.97
164,Deputatskiy,RU,2021-04-16 19:51:00,69.3,139.9,-7.24,91,29,3.09
165,Kavieng,PG,2021-04-16 19:51:01,-2.5744,150.7967,80.89,78,100,9.4
166,Husavik,IS,2021-04-16 19:51:01,66.0449,-17.3389,46.4,36,20,21.85
167,Kemijarvi,FI,2021-04-16 19:51:01,66.7131,27.4306,31.66,94,7,3.62
168,Palana,RU,2021-04-16 19:51:02,59.1167,159.9667,14.02,93,49,12.37
169,Mantua,IT,2021-04-16 19:51:02,45.1667,10.7833,46.99,76,1,4.36
170,Tasiilaq,GL,2021-04-16 19:51:02,65.6145,-37.6368,28.4,93,75,28.77
171,Cabedelo,BR,2021-04-16 19:51:03,-6.9811,-34.8339,82.4,83,20,10.36
172,Vuktyl,RU,2021-04-16 19:51:03,63.8567,57.3094,32.94,98,100,9.19
173,Beloha,MG,2021-04-16 19:47:03,-25.1667,45.05,67.93,71,100,17.49
174,Poum,NC,2021-04-16 19:51:03,-20.2333,164.0167,77.25,80,99,12.75
175,Mogadishu,SO,2021-04-16 19:51:04,2.0371,45.3438,82.92,74,22,10.83
176,Pacific Grove,US,2021-04-16 19:51:04,36.6177,-121.9166,57.2,62,1,10.36
177,Mannarakkat,IN,2021-04-16 19:51:04,10.9833,76.4667,80.6,88,40,2.3
178,Taoudenni,ML,2021-04-16 19:51:05,22.6783,-3.9836,86.83,13,100,9.53
179,Jinan,CN,2021-04-16 19:51:05,36.6683,116.9972,49.87,12,38,5.86
180,Torbay,CA,2021-04-16 19:51:05,47.6666,-52.7314,34.0,80,90,25.32
181,Tezu,IN,2021-04-16 19:51:06,27.9167,96.1667,73.99,41,100,3.53
182,Zaozerne,UA,2021-04-16 19:51:06,45.1582,33.2787,46.99,63,16,7.31
183,Nemuro,JP,2021-04-16 19:51:06,43.3236,145.575,40.3,84,81,19.91
184,Saskylakh,RU,2021-04-16 19:51:07,71.9167,114.0833,10.06,94,100,15.3
185,Saint-Philippe,RE,2021-04-16 19:51:07,-21.3585,55.7679,78.8,73,94,5.75
186,Danville,US,2021-04-16 19:46:09,36.586,-79.395,68.0,32,1,4.61
187,Dikson,RU,2021-04-16 19:51:07,73.5069,80.5464,-13.04,100,99,6.15
188,Montrose,US,2021-04-16 19:51:08,38.4166,-108.2673,46.0,41,61,5.99
189,Hukuntsi,BW,2021-04-16 19:51:08,-24.0,21.75,66.33,54,86,9.86
190,Itarema,BR,2021-04-16 19:51:08,-2.9248,-39.9167,80.98,80,100,15.19
191,Necochea,AR,2021-04-16 19:51:09,-38.5473,-58.7368,64.99,84,88,1.01
192,Barranca,PE,2021-04-16 19:51:09,-10.75,-77.7667,71.29,73,19,10.78
193,Half Moon Bay,US,2021-04-16 19:51:09,37.4636,-122.4286,66.99,76,40,12.66
194,Fougeres,FR,2021-04-16 19:51:10,48.35,-1.2,48.2,57,0,8.05
195,Eyl,SO,2021-04-16 19:51:10,7.9803,49.8164,81.41,73,15,9.24
196,Aleppo,SY,2021-04-16 19:51:10,36.25,37.5,66.24,40,63,7.43
197,Dumra,IN,2021-04-16 19:51:10,26.5667,85.5167,81.5,17,12,9.64
198,Margate,GB,2021-04-16 19:51:11,51.3813,1.3862,44.01,79,0,4.0
199,Carnarvon,AU,2021-04-16 19:50:55,-24.8667,113.6333,75.43,37,2,11.03
200,Constitucion,CL,2021-04-16 19:51:11,-35.3333,-72.4167,63.84,65,99,11.18
201,Iqaluit,CA,2021-04-16 19:51:11,63.7506,-68.5145,17.6,62,40,14.97
202,Kibondo,TZ,2021-04-16 19:51:12,-3.5864,30.7203,60.75,97,100,0.87
203,Bogalusa,US,2021-04-16 19:51:12,30.791,-89.8487,71.6,60,1,4.61
204,Liuhe,CN,2021-04-16 19:51:12,42.2401,125.7172,35.67,42,0,7.36
205,Hithadhoo,MV,2021-04-16 19:51:13,-0.6,73.0833,82.2,62,55,3.74
206,Guiuan,PH,2021-04-16 19:51:13,11.0333,125.7247,80.89,83,100,15.7
207,Lagoa,PT,2021-04-16 19:51:13,39.05,-27.9833,61.41,94,100,18.9
208,Takoradi,GH,2021-04-16 19:51:03,4.8845,-1.7554,81.99,80,57,9.84
209,Anahuac,MX,2021-04-16 19:51:14,27.2333,-100.15,87.8,58,75,6.35
210,Key West,US,2021-04-16 19:50:37,24.5557,-81.7826,82.99,61,1,6.91
211,Olinda,BR,2021-04-16 19:51:14,-8.0089,-34.8553,75.2,88,40,4.61
212,Gladstone,AU,2021-04-16 19:51:14,-23.85,151.25,66.2,82,30,5.75
213,Axim,GH,2021-04-16 19:51:15,4.8699,-2.2405,81.48,79,92,8.46
214,Idlib,SY,2021-04-16 19:51:15,35.9306,36.6339,66.2,52,0,6.91
215,Ambanja,MG,2021-04-16 19:51:15,-13.6833,48.45,75.24,92,68,3.18
216,Zmeinogorsk,RU,2021-04-16 19:51:15,51.1567,82.195,45.03,71,62,4.9
217,Tuatapere,NZ,2021-04-16 19:51:16,-46.1333,167.6833,42.01,94,57,5.01
218,Sarakhs,IR,2021-04-16 19:51:16,36.5449,61.1577,69.8,35,100,4.61
219,Sadovoye,RU,2021-04-16 19:51:16,47.7764,44.5089,53.76,77,100,13.89
220,Makakilo City,US,2021-04-16 19:51:17,21.3469,-158.0858,77.0,53,1,3.44
221,General Roca,AR,2021-04-16 19:51:17,-39.0333,-67.5833,77.0,23,0,5.75
222,Mecca,SA,2021-04-16 19:51:17,21.4267,39.8261,84.72,39,41,4.14
223,Logan,US,2021-04-16 19:49:48,41.7355,-111.8344,48.2,34,1,19.57
224,Kendari,ID,2021-04-16 19:51:18,-3.945,122.4989,73.47,92,32,4.09
225,Mahanoro,MG,2021-04-16 19:51:18,-19.9,48.8,73.94,90,100,3.24
226,Gobabis,NA,2021-04-16 19:51:18,-22.45,18.9667,67.91,33,63,8.46
227,Mahebourg,MU,2021-04-16 19:51:19,-20.4081,57.7,77.0,94,75,5.75
228,Altay,CN,2021-04-16 19:51:19,47.8667,88.1167,45.3,35,0,8.5
229,Baruun-Urt,MN,2021-04-16 19:51:19,46.6806,113.2792,28.27,52,0,8.34
230,Zaragoza,ES,2021-04-16 19:50:15,41.6561,-0.8773,51.01,43,0,19.57
231,Saldanha,ZA,2021-04-16 19:51:19,-33.0117,17.9442,69.8,46,0,5.75
232,Ostersund,SE,2021-04-16 19:48:49,63.1792,14.6357,42.8,56,100,2.86
233,Saint-Pierre,RE,2021-04-16 19:51:20,-21.3393,55.4781,78.8,73,94,5.75
234,Schleswig,DE,2021-04-16 19:51:20,54.5167,9.55,41.0,56,24,3.44
235,Otane,NZ,2021-04-16 19:51:20,-39.8833,176.6333,62.01,60,100,1.99
236,Kondinskoye,RU,2021-04-16 19:51:21,59.6481,67.41,29.61,55,78,7.81
237,Hofn,IS,2021-04-16 19:51:21,64.2539,-15.2082,42.85,76,91,32.03
238,Portland,US,2021-04-16 19:49:36,45.5234,-122.6762,77.0,19,1,20.71
239,Touros,BR,2021-04-16 19:51:21,-5.1989,-35.4608,84.2,65,20,12.66
240,Port Macquarie,AU,2021-04-16 19:47:04,-31.4333,152.9167,60.8,100,90,5.75
241,Barbastro,ES,2021-04-16 19:51:22,42.0356,0.1269,48.2,66,0,3.44
242,Borogontsy,RU,2021-04-16 19:51:22,62.6683,131.1683,28.81,95,100,14.16
243,Berlevag,NO,2021-04-16 19:51:22,70.8578,29.0864,39.2,87,75,29.93
244,Salinas,US,2021-04-16 19:46:43,36.6777,-121.6555,64.4,48,1,4.61
245,Port Hardy,CA,2021-04-16 19:47:11,50.6996,-127.4199,55.4,62,1,4.61
246,Bara,NG,2021-04-16 19:51:23,10.3744,10.7288,86.52,11,49,3.04
247,San,ML,2021-04-16 19:51:23,13.3034,-4.8956,95.25,20,75,8.01
248,Nome,US,2021-04-16 19:51:24,64.5011,-165.4064,26.01,86,90,8.05
249,Nanortalik,GL,2021-04-16 19:51:24,60.1432,-45.2371,21.9,53,66,48.43
250,Eregli,TR,2021-04-16 19:51:24,37.5133,34.0467,59.81,50,33,0.76
251,Vila Franca Do Campo,PT,2021-04-16 19:51:24,37.7167,-25.4333,62.6,88,20,9.22
252,Madaripur,BD,2021-04-16 19:51:25,23.1753,90.2072,76.53,78,45,4.05
253,Alihe,CN,2021-04-16 19:51:25,50.5667,123.7167,22.26,92,14,3.38
254,Pangnirtung,CA,2021-04-16 19:51:25,66.1451,-65.7125,5.0,72,20,14.97
255,Camacha,PT,2021-04-16 19:51:26,33.0833,-16.3333,62.6,67,75,11.5
256,Nuevo Progreso,MX,2021-04-16 19:51:26,23.1667,-97.95,97.0,52,18,5.99
257,Flinders,AU,2021-04-16 19:47:23,-34.5833,150.8552,55.0,83,100,1.01
258,Kushima,JP,2021-04-16 19:51:26,31.4583,131.2333,57.0,93,100,3.0
259,Sambava,MG,2021-04-16 19:51:27,-14.2667,50.1667,76.5,89,68,4.27
260,Bilibino,RU,2021-04-16 19:51:27,68.0546,166.4372,18.75,94,100,5.32
261,Hambantota,LK,2021-04-16 19:51:27,6.1241,81.1185,75.2,100,20,2.3
262,Lucapa,AO,2021-04-16 19:51:28,-8.4192,20.7447,66.99,92,94,1.66
263,Chuy,UY,2021-04-16 19:50:56,-33.6971,-53.4616,69.46,86,98,4.85
264,Lensk,RU,2021-04-16 19:51:28,60.7253,114.9278,26.89,88,100,8.57
265,Cap Malheureux,MU,2021-04-16 19:47:42,-19.9842,57.6142,80.01,83,21,4.0
266,Bucak,TR,2021-04-16 19:51:28,37.4592,30.595,60.8,58,0,4.61
267,Sao Filipe,CV,2021-04-16 19:51:29,14.8961,-24.4956,71.71,76,0,13.33
268,Schagen,NL,2021-04-16 19:51:29,52.7875,4.7986,44.01,81,1,8.05
269,Aguililla,MX,2021-04-16 19:51:29,18.7333,-102.7333,97.27,8,4,3.29
270,Sarh,TD,2021-04-16 19:51:30,9.1429,18.3923,91.4,27,0,5.61
271,Jhunjhunun,IN,2021-04-16 19:51:30,28.1307,75.4014,74.19,48,0,6.35
272,Puerto Escondido,MX,2021-04-16 19:47:31,15.85,-97.0667,87.8,74,40,8.05
273,Sal Rei,CV,2021-04-16 19:51:30,16.1833,-22.9167,73.4,64,75,19.57
274,Zhengjiatun,CN,2021-04-16 19:51:31,43.5064,123.5064,35.91,87,100,5.95
275,Kedrovyy,RU,2021-04-16 19:51:31,56.1667,91.8167,30.2,100,40,6.71
276,Sioux Lookout,CA,2021-04-16 19:51:31,50.1001,-91.917,46.4,27,75,11.5
