City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
113,Lae,PG,82.4,scattered clouds,-6.7221,146.9847,Phils Hotel
114,Sao Joao Da Barra,BR,74.59,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
115,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
116,Tibu,CO,74.89,overcast clouds,8.639,-72.7358,Hotel Yuliana's
118,Port Blair,IN,82.62,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
122,Pemangkat,ID,80.24,overcast clouds,1.1667,108.9667,Ramah Kost KITA
128,Rock Sound,BS,77.79,overcast clouds,24.9,-76.2,Rock Sound Club
129,Namatanai,PG,86.9,overcast clouds,-3.6667,152.4333,Namatanai Hotel
131,Cartagena,CO,80.6,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
134,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
135,Namibe,AO,81.45,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
137,Kondagaon,IN,77.2,scattered clouds,19.6,81.6667,AYAN MOTER
138,Bengkulu,ID,77.29,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Yorosso,ML,85.55,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
141,Hambantota,LK,73.4,few clouds,6.1241,81.1185,Bungalow 63
147,Xuddur,SO,74.88,clear sky,4.1213,43.8894,Banjanay Hotel
148,Phangnga,TH,84.99,broken clouds,8.4509,98.5298,Rattanapong Hotel
151,Inirida,CO,73.8,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
152,Victoria,HK,72.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
153,Pocone,BR,80.73,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
156,Itoman,JP,71.6,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
157,San Andres,CO,82.4,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
158,Honiara,SB,86.7,overcast clouds,-9.4333,159.95,Heritage Park Hotel
167,Butaritari,KI,83.37,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
169,Trairi,BR,75.47,overcast clouds,-3.2778,-39.2689,janelas do mar
171,Flinders,AU,70.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
172,Charters Towers,AU,81.81,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
177,Laguna Beach,US,82.4,clear sky,33.5423,-117.7831,The Inn at Laguna Beach
178,Santa Fe,AR,73.99,clear sky,-31.6333,-60.7,Conquistador Hotel
179,Santa Cruz,BO,70.47,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
182,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
186,Sur,OM,80.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
187,Eten,PE,71.6,clear sky,-6.9081,-79.8642,Hospedaje Sol Radiante
190,Camalu,MX,82.0,clear sky,30.85,-116.0667,La Cueva del Pirata
191,Nogales,MX,75.2,clear sky,31.3086,-110.9422,Hotel Marqués De Cima
194,Manaure,CO,83.32,overcast clouds,11.7751,-72.4445,Hotel Palaaima
